,pred
0,161020.2779233081
1,122430.19621530683
2,146295.32976907917
3,162044.86400901733
4,252142.62076376617
5,324003.5282681545
6,123374.70419435305
7,195604.8881462395
8,111851.7663739802
9,262353.8726337847
10,172827.51687053742
11,229435.57137694123
12,308791.437791995
13,165405.33124292715
14,127556.45484527526
15,310916.5711127088
16,191789.5047735896
17,231514.10794440526
18,178858.4338664734
19,368565.233982356
20,328941.81217496446
21,184432.83504562994
22,411510.99791298993
23,148848.98639452018
24,194339.91662657313
25,226809.6923173456
26,164980.7493938263
27,156918.2562896153
28,193041.51150528577
29,184124.52052259803
30,191582.8843444653
31,191589.79688496137
32,274456.1195436365
33,190731.09216836197
34,116075.459417986
35,264469.6503453194
36,254806.751461028
37,176642.21901499992
38,206735.89847587317
39,177504.00608637262
40,248826.76643914013
41,172206.6374415857
42,194430.83588732433
43,188533.37565614484
44,170216.04323241723
45,125581.63014177173
46,263191.0663067544
47,214169.41114405903
48,145762.8829960484
49,250455.36550574016
50,181169.74512563917
51,200606.34758084014
52,133883.4404497597
53,126409.97252787111
54,249787.8206965711
55,184346.28279419104
56,318788.86195821693
57,179525.34062738076
58,144729.84100987267
59,125338.97564184156
60,195591.0886767309
61,220215.30547816207
62,179257.82917632905
63,205420.01738412937
64,226951.3667351957
65,129115.95477214466
66,222123.02835272768
67,152850.71736593693
68,168424.38146343187
69,151523.77998888906
70,181630.4513439072
71,119810.68705327869
72,234843.7943774043
73,331554.2277442088
74,292314.3363591848
75,166420.0613786324
76,239255.67504795795
77,305528.9870325271
78,157151.17155907655
79,247684.61518005014
80,173395.360996656
81,169952.59868351574
82,200106.48776513463
83,115848.64385051542
84,323719.52980294527
85,328554.14238031907
86,182011.43110704308
87,275755.2332732908
88,465591.76815367496
89,104104.20482544514
90,158234.69867154502
91,220876.5793286382
92,185125.23994099346
93,125719.22020834469
94,177944.72158218615
95,283103.9398788965
96,203286.68781590776
97,319647.6437397109
98,237646.45870296672
99,424231.5094974888
100,183799.25119746994
101,358781.90478502784
102,194056.880390599
103,182101.61450367994
104,242695.7136544969
105,224848.60301421504
106,292897.30188967177
107,175268.62898904757
108,183383.2315707403
109,205601.37018376563
110,258007.8261503347
111,181754.1320729999
112,184434.96727167268
113,162260.66302745658
114,177899.80397409032
115,179802.41520903585
116,220607.94881482626
117,335884.4737963072
118,354841.83499947254
119,415563.99815787555
120,261272.003751617
121,272271.8418380757
122,209691.72066339978
123,193903.05984533744
124,193083.93027906035
125,196097.0408796665
126,242416.9884517499
127,323302.9046717687
128,216544.0582231854
129,183622.41494335263
130,239449.9484140278
131,92181.72784373336
132,180242.24097779908
133,205758.35529562234
134,158982.78250433187
135,160254.3478177106
136,129515.82196482888
137,136832.44073029343
138,213977.27525933817
139,187062.62168423895
140,211324.3301057949
141,336685.49524846126
142,195188.31823122996
143,207683.9527322597
144,206476.24822832545
145,201805.71324075852
146,135411.22367025132
147,127400.41716691195
148,163017.9377063949
149,195366.4909466298
150,251519.90415877715
151,382451.7100798412
152,309864.50167654624
153,268594.2289535676
154,103310.97427307232
155,157017.30301835667
156,327886.3492801294
157,273124.73531909287
158,182994.55294851752
159,235921.17329953826
160,111397.5285143362
161,239047.44455797685
162,193295.41726459927
163,169364.46413645774
164,178243.58423504594
165,179519.57986550036
166,164569.65782319204
167,179151.95803179886
168,192803.44538713497
169,273147.9309996633
170,205460.10622203522
171,204651.41609129295
172,162935.83148693724
173,197197.09170442814
174,148508.28845895777
175,173613.8200545262
176,197972.554064661
177,171206.43010318303
178,293329.3919779152
179,131217.11151531944
180,202968.76453121353
181,127567.35648600417
182,165717.25342171922
183,167605.6312870768
184,282365.92514021846
185,250909.56801478544
186,187220.39951297603
187,316386.20237679686
188,204518.50834138214
189,189173.92353523787
190,196404.85337721818
191,232386.66350774205
192,189291.1851502887
193,206111.13071117402
194,127942.82675205899
195,302247.3024922848
196,120859.66649708731
197,185371.4222136522
198,281730.0786621701
199,174765.9729059589
200,231735.59365800477
201,164053.75725280726
202,165428.48240020106
203,249063.4817671035
204,193265.18179262726
205,67068.03705202857
206,183105.59408309558
207,227890.91929270793
208,185424.2420318121
209,179952.96164872113
210,299848.102971018
211,194586.666826786
212,183683.8236067448
213,109287.27963836737
214,291007.66021004884
215,144705.38074014586
216,219970.26544591942
217,246338.53134773864
218,183187.86698465134
219,226477.6164508811
220,304601.25713884283
221,387162.4802528561
222,173564.73029742614
223,103397.16835650516
224,135879.4344020144
225,243184.1883827646
226,178304.86219533638
227,69248.61099660715
228,170441.67530695122
229,170328.25558040375
230,138047.53467232556
231,248210.47687424705
232,300767.6771817573
233,204876.5236689161
234,178179.24741813194
235,142629.7861149462
236,274356.9844789593
237,157387.24430165146
238,163277.90045248618
239,343561.2268971572
240,150947.33950635916
241,429739.3400963902
242,217958.4468009568
243,244745.76149392442
244,177523.15200680276
245,260585.81409347604
246,135808.67459105427
247,125920.2360105736
248,148063.16846790782
249,288299.52702151454
250,200249.29005944743
251,160779.09723824356
252,270694.56486418
253,174987.00167167964
254,213711.10762791577
255,219869.8261266085
256,153342.30433350286
257,71453.67905772734
258,220156.35754263724
259,129458.65196173849
260,171474.6959693637
261,167509.57621931576
262,205131.39651043268
263,336485.6364307202
264,177602.75386844281
265,136980.735074465
266,221843.71784760422
267,170499.6765069799
268,216135.53793812147
269,135136.88479934374
270,201139.8063694714
271,264603.6964665172
272,245691.7702079529
273,202870.46068826946
274,129231.76779841138
275,265616.0045811067
276,112165.84909066526
277,310619.84785022907
278,156804.76208462915
279,172998.48096466556
280,173068.21431083808
281,179212.28643415694
282,230629.38562715243
283,272922.0223715709
284,213652.56450939566
285,180891.61237528874
286,183736.63200167575
287,165411.85228351073
288,216056.93517449184
289,191127.14314851182
290,171690.01536628857
291,235807.47621471065
292,288853.37425222376
293,154097.5038240663
294,269963.7444686106
295,237494.72900366198
296,215426.13539609493
297,153792.5832114283
298,271157.94562939345
299,96483.0037420783
300,181137.52284007907
301,188119.5335445487
302,195168.40302518228
303,105072.02095442361
304,189897.79711749195
305,226020.6092211716
306,175218.76640707592
307,150836.79278335313
308,202719.33444152668
309,212761.71361368333
310,254644.68620215205
311,182222.26288169267
312,442455.5164636683
313,211152.14458968502
314,127641.67474136181
315,182665.58769198143
316,244646.4495021125
317,136960.5104547714
318,139815.08793475002
319,103435.37094210398
320,177039.36989168814
321,129995.18762574487
322,116663.996091708
323,184526.69079928155
324,187017.66362299802
325,125478.32240485311
326,229048.23205950996
327,201695.0952979503
328,145116.12509404606
329,175023.71271555335
330,123209.95754209615
331,172585.9818075982
332,209671.7749185748
333,114671.16299779827
334,295216.4764218678
335,173164.08857496528
336,206388.14048351685
337,151983.5684369801
338,236288.52415467368
339,123984.66494351083
340,267810.46495617676
341,201787.39657467775
342,270391.0886105796
343,229220.41089173063
344,201822.46072107356
345,198643.83871214645
346,235369.4508270777
347,233494.79828115352
348,179826.02349247984
349,111377.00680241727
350,404149.43051828083
